...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running LSTM model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 465/1000, {Recall = 0.611404, Precision = 0.335260, F1 = 0.433056}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 504/1000, {Recall = 0.624341, Precision = 0.319050, F1 = 0.422298}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 491/1000, {Recall = 0.631049, Precision = 0.331905, F1 = 0.435012}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 490/1000, {Recall = 0.617154, Precision = 0.322403, F1 = 0.423545}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 526/1000, {Recall = 0.634883, Precision = 0.311179, F1 = 0.417652}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 492/1000, {Recall = 0.620029, Precision = 0.322131, F1 = 0.423984}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 510/1000, {Recall = 0.629612, Precision = 0.317929, F1 = 0.422508}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 482/1000, {Recall = 0.637758, Precision = 0.338763, F1 = 0.442487}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 523/1000, {Recall = 0.632008, Precision = 0.308610, F1 = 0.414715}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 493/1000, {Recall = 0.625299, Precision = 0.323741, F1 = 0.426610}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 454/1000, {Recall = 0.611883, Precision = 0.342543, F1 = 0.439209}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 514/1000, {Recall = 0.624341, Precision = 0.307529, F1 = 0.412081}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 495/1000, {Recall = 0.632008, Precision = 0.326324, F1 = 0.430413}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 515/1000, {Recall = 0.645424, Precision = 0.318289, F1 = 0.426333}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 541/1000, {Recall = 0.636799, Precision = 0.297848, F1 = 0.405863}, query = aurora	
Epoch 15, epsilon = 0.700, sum(y)/len(y) = 516/1000, {Recall = 0.636799, Precision = 0.316881, F1 = 0.423181}, query = aurora	
Epoch 16, epsilon = 0.680, sum(y)/len(y) = 467/1000, {Recall = 0.609487, Precision = 0.336152, F1 = 0.433316}, query = aurora	
Epoch 17, epsilon = 0.660, sum(y)/len(y) = 515/1000, {Recall = 0.638716, Precision = 0.314090, F1 = 0.421103}, query = aurora	
Epoch 18, epsilon = 0.640, sum(y)/len(y) = 501/1000, {Recall = 0.634883, Precision = 0.316758, F1 = 0.422648}, query = aurora	
Epoch 19, epsilon = 0.620, sum(y)/len(y) = 509/1000, {Recall = 0.627216, Precision = 0.315118, F1 = 0.419484}, query = aurora	
Epoch 20, epsilon = 0.600, sum(y)/len(y) = 481/1000, {Recall = 0.627216, Precision = 0.332825, F1 = 0.434884}, query = aurora	
Epoch 21, epsilon = 0.580, sum(y)/len(y) = 485/1000, {Recall = 0.623383, Precision = 0.326229, F1 = 0.428313}, query = aurora	
Epoch 22, epsilon = 0.560, sum(y)/len(y) = 473/1000, {Recall = 0.624820, Precision = 0.329793, F1 = 0.431717}, query = aurora	
Epoch 23, epsilon = 0.540, sum(y)/len(y) = 468/1000, {Recall = 0.620508, Precision = 0.332819, F1 = 0.433255}, query = aurora	
Epoch 24, epsilon = 0.520, sum(y)/len(y) = 454/1000, {Recall = 0.627695, Precision = 0.349613, F1 = 0.449092}, query = aurora	
Epoch 25, epsilon = 0.500, sum(y)/len(y) = 427/1000, {Recall = 0.619070, Precision = 0.365385, F1 = 0.459541}, query = aurora	
Epoch 26, epsilon = 0.480, sum(y)/len(y) = 450/1000, {Recall = 0.616675, Precision = 0.350204, F1 = 0.446720}, query = aurora	
Epoch 27, epsilon = 0.460, sum(y)/len(y) = 485/1000, {Recall = 0.618591, Precision = 0.326670, F1 = 0.427554}, query = aurora	
